valuationDate,sectorCategory,DENOM_CURR_CDE,spread
4/13/2006,Credit_glagg_crd_1_5YRS,USD,57
4/13/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/13/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/13/2006,Credit_glagg_crd_1_3YRS,USD,48
4/13/2006,Credit_glagg_crd_1_3YRS,EUR,26
4/13/2006,Credit_glagg_crd_1_3YRS,GBP,34
4/13/2006,Credit_glagg _crd>5.0YRS,USD,102
4/13/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/13/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/13/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/13/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/13/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/13/2006,Credit_glagg_crd_exJPY_exBBB,USD,70
4/13/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/13/2006,Credit_glagg_crd_exJPY_exBBB,GBP,68
4/13/2006,Credit_Global Agg (Original),USD,61
4/13/2006,Credit_Global Agg (Original),EUR,19
4/13/2006,Credit_Global Agg (Original),GBP,31
4/14/2006,Agency,USD,35
4/14/2006,Agency,EUR,22
4/14/2006,Agency,GBP,17
4/14/2006,ABS,USD,46
4/14/2006,CMBS,USD,68
4/14/2006,MBS,USD,96
4/14/2006,Credit_AAA-BBB,USD,83
4/14/2006,Credit_AAA-BBB,EUR,42
4/14/2006,Credit_AAA-BBB,GBP,73
4/14/2006,Credit_AAA-A,USD,69
4/14/2006,Credit_AAA-A,EUR,34
4/14/2006,Credit_AAA-A,GBP,68
4/14/2006,Credit_AAA-AA,USD,57
4/14/2006,Credit_AAA-AA,EUR,25
4/14/2006,Credit_AAA-AA,GBP,54
4/14/2006,Credit_US CORP 1-10,USD,80
4/14/2006,Credit_glagg_crd_1_5YRS,USD,57
4/14/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/14/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/14/2006,Credit_glagg_crd_1_3YRS,USD,48
4/14/2006,Credit_glagg_crd_1_3YRS,EUR,26
4/14/2006,Credit_glagg_crd_1_3YRS,GBP,34
4/14/2006,Credit_glagg _crd>5.0YRS,USD,102
4/14/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/14/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/14/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/14/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/14/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/14/2006,Credit_glagg_crd_exJPY_exBBB,USD,70
4/14/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/14/2006,Credit_glagg_crd_exJPY_exBBB,GBP,68
4/14/2006,Credit_Global Agg (Original),USD,61
4/14/2006,Credit_Global Agg (Original),EUR,19
4/14/2006,Credit_Global Agg (Original),GBP,31
4/17/2006,Agency,USD,35
4/17/2006,Agency,EUR,22
4/17/2006,Agency,GBP,17
4/17/2006,ABS,USD,46
4/17/2006,CMBS,USD,67
4/17/2006,MBS,USD,96
4/17/2006,Credit_AAA-BBB,USD,83
4/17/2006,Credit_AAA-BBB,EUR,42
